source,target,Var1,Var2,r,p,edge,disease,edgeType,abs.r
Gemellaceae,Planococcaceae,bacteria_9,bacteria_48,0.373621971323837,0,bacteria_9|bacteria_48,Health,bb,0.373621971323837
Granulicatella,Planococcaceae,bacteria_12,bacteria_48,0.616033443595805,0,bacteria_12|bacteria_48,Health,bb,0.616033443595805
Neisseriaceae,Weeksellaceae,bacteria_2,bacteria_49,0.363713179250715,0,bacteria_2|bacteria_49,Health,bb,0.363713179250715
Haemophilus,Weeksellaceae,bacteria_7,bacteria_49,0.394651519566142,0,bacteria_7|bacteria_49,Health,bb,0.394651519566142
Capnocytophaga,Weeksellaceae,bacteria_32,bacteria_49,0.575506945523827,0,bacteria_32|bacteria_49,Health,bb,0.575506945523827
Treponema,TG5,bacteria_15,bacteria_53,0.511155416380485,0,bacteria_15|bacteria_53,Health,bb,0.511155416380485
Bacteroidales,TG5,bacteria_41,bacteria_53,0.401856274346532,0,bacteria_41|bacteria_53,Health,bb,0.401856274346532
Tannerella,TG5,bacteria_45,bacteria_53,0.40327496650081,0,bacteria_45|bacteria_53,Health,bb,0.40327496650081
Selenomonas,TG5,bacteria_46,bacteria_53,0.431471546649449,0,bacteria_46|bacteria_53,Health,bb,0.431471546649449
Treponema,Peptococcus,bacteria_15,bacteria_54,0.412342881674059,0,bacteria_15|bacteria_54,Health,bb,0.412342881674059
Mogibacteriaceae,Peptococcus,bacteria_17,bacteria_54,0.427956771183191,0,bacteria_17|bacteria_54,Health,bb,0.427956771183191
Clostridiaceae,Peptococcus,bacteria_19,bacteria_54,0.525507365608674,0,bacteria_19|bacteria_54,Health,bb,0.525507365608674
Filifactor,Peptococcus,bacteria_27,bacteria_54,0.46965072846792,0,bacteria_27|bacteria_54,Health,bb,0.46965072846792
Parvimonas,Peptococcus,bacteria_40,bacteria_54,0.418501904068793,0,bacteria_40|bacteria_54,Health,bb,0.418501904068793
Catonella,Peptococcus,bacteria_43,bacteria_54,0.444338149221993,0,bacteria_43|bacteria_54,Health,bb,0.444338149221993
Prevotella,Butyrivibrio,bacteria_1,bacteria_55,0.356452351886858,2.22044604925031e-16,bacteria_1|bacteria_55,Health,bb,0.356452351886858
Dialister,Megasphaera,bacteria_35,bacteria_56,0.353307963936196,4.44089209850063e-16,bacteria_35|bacteria_56,Health,bb,0.353307963936196
TG5,Megasphaera,bacteria_53,bacteria_56,0.366550753695367,0,bacteria_53|bacteria_56,Health,bb,0.366550753695367
Treponema,Sharpea,bacteria_15,bacteria_57,0.38329539536266,0,bacteria_15|bacteria_57,Health,bb,0.38329539536266
Mogibacteriaceae,RF39,bacteria_17,bacteria_58,0.355792843327107,4.44089209850063e-16,bacteria_17|bacteria_58,Health,bb,0.355792843327107
Bulleidia,RF39,bacteria_18,bacteria_58,0.43560642806398,0,bacteria_18|bacteria_58,Health,bb,0.43560642806398
Clostridiaceae,RF39,bacteria_19,bacteria_58,0.425043392121126,0,bacteria_19|bacteria_58,Health,bb,0.425043392121126
SR1,RF39,bacteria_22,bacteria_58,0.538711843377334,0,bacteria_22|bacteria_58,Health,bb,0.538711843377334
Oribacterium,RF39,bacteria_28,bacteria_58,0.377282298581348,0,bacteria_28|bacteria_58,Health,bb,0.377282298581348
Clostridiales,RF39,bacteria_30,bacteria_58,0.497994200011447,0,bacteria_30|bacteria_58,Health,bb,0.497994200011447
Peptococcus,RF39,bacteria_54,bacteria_58,0.373419283921929,0,bacteria_54|bacteria_58,Health,bb,0.373419283921929
Tannerella,Paludibacter,bacteria_45,bacteria_59,0.415334529670736,0,bacteria_45|bacteria_59,Health,bb,0.415334529670736
Streptococcus,Enterococcus,bacteria_3,bacteria_60,0.440905343279782,0,bacteria_3|bacteria_60,Health,bb,0.440905343279782
Gemellaceae,Enterococcus,bacteria_9,bacteria_60,0.399938191756074,0,bacteria_9|bacteria_60,Health,bb,0.399938191756074
Granulicatella,Enterococcus,bacteria_12,bacteria_60,0.54165412950105,0,bacteria_12|bacteria_60,Health,bb,0.54165412950105
Planococcaceae,Enterococcus,bacteria_48,bacteria_60,0.557050664516543,0,bacteria_48|bacteria_60,Health,bb,0.557050664516543
Porphyromonas,Peptostreptococcaceae,bacteria_6,bacteria_62,0.378705959928031,0,bacteria_6|bacteria_62,Health,bb,0.378705959928031
Clostridiaceae,Peptostreptococcaceae,bacteria_19,bacteria_62,0.424438154933363,0,bacteria_19|bacteria_62,Health,bb,0.424438154933363
SR1,Peptostreptococcaceae,bacteria_22,bacteria_62,0.354830172350835,4.44089209850063e-16,bacteria_22|bacteria_62,Health,bb,0.354830172350835
Filifactor,Peptostreptococcaceae,bacteria_27,bacteria_62,0.378192004900174,0,bacteria_27|bacteria_62,Health,bb,0.378192004900174
Parvimonas,Peptostreptococcaceae,bacteria_40,bacteria_62,0.366128242602728,0,bacteria_40|bacteria_62,Health,bb,0.366128242602728
Catonella,Peptostreptococcaceae,bacteria_43,bacteria_62,0.387554735765144,0,bacteria_43|bacteria_62,Health,bb,0.387554735765144
Peptococcus,Peptostreptococcaceae,bacteria_54,bacteria_62,0.430258484702366,0,bacteria_54|bacteria_62,Health,bb,0.430258484702366
Bulleidia,TM7-3,bacteria_18,bacteria_63,0.37909275920611,0,bacteria_18|bacteria_63,Health,bb,0.37909275920611
Clostridiales,TM7-3,bacteria_30,bacteria_63,0.362588336567043,0,bacteria_30|bacteria_63,Health,bb,0.362588336567043
Kingella,Comamonadaceae,bacteria_34,bacteria_61,0.399013787522411,0,bacteria_34|bacteria_61,Health,bb,0.399013787522411
SR1,Anaerovorax,bacteria_22,bacteria_68,0.484620566603684,0,bacteria_22|bacteria_68,Health,bb,0.484620566603684
RF39,Anaerovorax,bacteria_58,bacteria_68,0.436105456354322,0,bacteria_58|bacteria_68,Health,bb,0.436105456354322
Peptostreptococcaceae,Anaerovorax,bacteria_62,bacteria_68,0.455318176487791,0,bacteria_62|bacteria_68,Health,bb,0.455318176487791
Treponema,Acidaminobacteraceae,bacteria_15,bacteria_69,0.597606183080231,0,bacteria_15|bacteria_69,Health,bb,0.597606183080231
Mogibacteriaceae,Acidaminobacteraceae,bacteria_17,bacteria_69,0.571285420990893,0,bacteria_17|bacteria_69,Health,bb,0.571285420990893
Clostridiaceae,Acidaminobacteraceae,bacteria_19,bacteria_69,0.43377335831484,0,bacteria_19|bacteria_69,Health,bb,0.43377335831484
Filifactor,Acidaminobacteraceae,bacteria_27,bacteria_69,0.647594573962552,0,bacteria_27|bacteria_69,Health,bb,0.647594573962552
Parvimonas,Acidaminobacteraceae,bacteria_40,bacteria_69,0.420970500148605,0,bacteria_40|bacteria_69,Health,bb,0.420970500148605
Catonella,Acidaminobacteraceae,bacteria_43,bacteria_69,0.400674287627384,0,bacteria_43|bacteria_69,Health,bb,0.400674287627384
Mycoplasma,Acidaminobacteraceae,bacteria_44,bacteria_69,0.50786587481541,0,bacteria_44|bacteria_69,Health,bb,0.50786587481541
TG5,Acidaminobacteraceae,bacteria_53,bacteria_69,0.362899886497196,0,bacteria_53|bacteria_69,Health,bb,0.362899886497196
Mogibacteriaceae,Slackia,bacteria_17,bacteria_70,0.351886557662253,6.66133814775094e-16,bacteria_17|bacteria_70,Health,bb,0.351886557662253
Dialister,Slackia,bacteria_35,bacteria_70,0.380880009762159,0,bacteria_35|bacteria_70,Health,bb,0.380880009762159
Erwinia,Enterobacteriaceae,bacteria_37,bacteria_66,0.388643088432571,0,bacteria_37|bacteria_66,Health,bb,0.388643088432571
Neisseria,Cardiobacterium,bacteria_23,bacteria_71,0.354510874545729,4.44089209850063e-16,bacteria_23|bacteria_71,Health,bb,0.354510874545729
Kingella,Cardiobacterium,bacteria_34,bacteria_71,0.414181490564593,0,bacteria_34|bacteria_71,Health,bb,0.414181490564593
Treponema,Tissierellaceae,bacteria_15,bacteria_72,0.386579424723559,0,bacteria_15|bacteria_72,Health,bb,0.386579424723559
Filifactor,Tissierellaceae,bacteria_27,bacteria_72,0.459384740189671,0,bacteria_27|bacteria_72,Health,bb,0.459384740189671
Gemellaceae,Gemella,bacteria_9,bacteria_73,0.556581723470512,0,bacteria_9|bacteria_73,Health,bb,0.556581723470512
Parvimonas,Gemella,bacteria_40,bacteria_73,0.351169536480077,8.88178419700125e-16,bacteria_40|bacteria_73,Health,bb,0.351169536480077
Haemophilus,Mannheimia,bacteria_7,bacteria_76,0.352316212709398,4.44089209850063e-16,bacteria_7|bacteria_76,Health,bb,0.352316212709398
Pasteurellaceae,Mannheimia,bacteria_31,bacteria_76,0.404289181550657,0,bacteria_31|bacteria_76,Health,bb,0.404289181550657
Treponema,Schwartzia,bacteria_15,bacteria_79,0.36147830379309,0,bacteria_15|bacteria_79,Health,bb,0.36147830379309
Selenomonas,Schwartzia,bacteria_46,bacteria_79,0.372009971878065,0,bacteria_46|bacteria_79,Health,bb,0.372009971878065
TG5,Schwartzia,bacteria_53,bacteria_79,0.407055860503945,0,bacteria_53|bacteria_79,Health,bb,0.407055860503945
Clostridiaceae,Peptostreptococcus,bacteria_19,bacteria_80,0.586489468816188,0,bacteria_19|bacteria_80,Health,bb,0.586489468816188
Filifactor,Peptostreptococcus,bacteria_27,bacteria_80,0.386288196384649,0,bacteria_27|bacteria_80,Health,bb,0.386288196384649
Parvimonas,Peptostreptococcus,bacteria_40,bacteria_80,0.366367297538175,0,bacteria_40|bacteria_80,Health,bb,0.366367297538175
Catonella,Peptostreptococcus,bacteria_43,bacteria_80,0.350901577803589,8.88178419700125e-16,bacteria_43|bacteria_80,Health,bb,0.350901577803589
Peptococcus,Peptostreptococcus,bacteria_54,bacteria_80,0.402345533531925,0,bacteria_54|bacteria_80,Health,bb,0.402345533531925
Treponema,ML615J-28,bacteria_15,bacteria_81,0.426415785061678,0,bacteria_15|bacteria_81,Health,bb,0.426415785061678
Filifactor,ML615J-28,bacteria_27,bacteria_81,0.370463890198502,0,bacteria_27|bacteria_81,Health,bb,0.370463890198502
