source,target,Var1,Var2,r,p,edge,disease,edgeType,abs.r
Treponema,Selenomonas,bacteria_15,bacteria_46,0.452450805701547,0.000196922800673516,bacteria_15|bacteria_46,COPD,bb,0.452450805701547
Campylobacter,Selenomonas,bacteria_26,bacteria_46,0.442813287920362,0.000278880954079241,bacteria_26|bacteria_46,COPD,bb,0.442813287920362
Bacteroidales,Selenomonas,bacteria_41,bacteria_46,0.504368091822285,2.50084159361119e-05,bacteria_41|bacteria_46,COPD,bb,0.504368091822285
Tannerella,Selenomonas,bacteria_45,bacteria_46,0.434496602540307,0.000373488958590462,bacteria_45|bacteria_46,COPD,bb,0.434496602540307
Capnocytophaga,Weeksellaceae,bacteria_32,bacteria_49,0.474992530812959,8.37149920398517e-05,bacteria_32|bacteria_49,COPD,bb,0.474992530812959
Treponema,TG5,bacteria_15,bacteria_53,0.550487909024856,2.95116134507722e-06,bacteria_15|bacteria_53,COPD,bb,0.550487909024856
Tannerella,TG5,bacteria_45,bacteria_53,0.400030532648242,0.00116077136080284,bacteria_45|bacteria_53,COPD,bb,0.400030532648242
Selenomonas,TG5,bacteria_46,bacteria_53,0.462252501271539,0.000136750941488462,bacteria_46|bacteria_53,COPD,bb,0.462252501271539
Prevotella,Butyrivibrio,bacteria_1,bacteria_55,0.473302770278965,8.9444971890007e-05,bacteria_1|bacteria_55,COPD,bb,0.473302770278965
Bulleidia,Butyrivibrio,bacteria_18,bacteria_55,0.474685494783755,8.4730328986149e-05,bacteria_18|bacteria_55,COPD,bb,0.474685494783755
Atopobium,Butyrivibrio,bacteria_24,bacteria_55,0.467186930738408,0.000113338068529423,bacteria_24|bacteria_55,COPD,bb,0.467186930738408
Selenomonas,Megasphaera,bacteria_46,bacteria_56,0.475397424036816,8.23931859905702e-05,bacteria_46|bacteria_56,COPD,bb,0.475397424036816
Treponema,Sharpea,bacteria_15,bacteria_57,0.444029821923664,0.00026704775452524,bacteria_15|bacteria_57,COPD,bb,0.444029821923664
Dialister,Sharpea,bacteria_35,bacteria_57,0.494583214348584,3.78635664262106e-05,bacteria_35|bacteria_57,COPD,bb,0.494583214348584
Filifactor,Paludibacter,bacteria_27,bacteria_59,0.437553320554355,0.000335759703732563,bacteria_27|bacteria_59,COPD,bb,0.437553320554355
Bacteroidales,Paludibacter,bacteria_41,bacteria_59,0.485739974430758,5.44957612622632e-05,bacteria_41|bacteria_59,COPD,bb,0.485739974430758
Rothia,Enterococcus,bacteria_8,bacteria_60,0.45103865086731,0.000207357971901523,bacteria_8|bacteria_60,COPD,bb,0.45103865086731
Planococcaceae,Enterococcus,bacteria_48,bacteria_60,0.501278543601694,2.8546926549966e-05,bacteria_48|bacteria_60,COPD,bb,0.501278543601694
Prevotella,TM7-3,bacteria_1,bacteria_63,0.434571695799454,0.00037251758614687,bacteria_1|bacteria_63,COPD,bb,0.434571695799454
Veillonella,TM7-3,bacteria_4,bacteria_63,0.405766604227987,0.000969100899523401,bacteria_4|bacteria_63,COPD,bb,0.405766604227987
Bulleidia,TM7-3,bacteria_18,bacteria_63,0.565645444001069,1.36062748934407e-06,bacteria_18|bacteria_63,COPD,bb,0.565645444001069
Atopobium,TM7-3,bacteria_24,bacteria_63,0.543826895621151,4.09840399973049e-06,bacteria_24|bacteria_63,COPD,bb,0.543826895621151
Clostridiales,TM7-3,bacteria_30,bacteria_63,0.586221004297975,4.46319906810544e-07,bacteria_30|bacteria_63,COPD,bb,0.586221004297975
Mogibacterium,TM7-3,bacteria_42,bacteria_63,0.474315889200055,8.59676201940829e-05,bacteria_42|bacteria_63,COPD,bb,0.474315889200055
Butyrivibrio,TM7-3,bacteria_55,bacteria_63,0.511986379970468,1.79459756968203e-05,bacteria_55|bacteria_63,COPD,bb,0.511986379970468
Treponema,Comamonadaceae,bacteria_15,bacteria_61,0.404822546237223,0.000998536907569569,bacteria_15|bacteria_61,COPD,bb,0.404822546237223
RF39,Anaerovorax,bacteria_58,bacteria_68,0.441011487055642,0.000297288855084066,bacteria_58|bacteria_68,COPD,bb,0.441011487055642
Filifactor,Acidaminobacteraceae,bacteria_27,bacteria_69,0.549808167027921,3.05272737555207e-06,bacteria_27|bacteria_69,COPD,bb,0.549808167027921
Erwinia,Enterobacteriaceae,bacteria_37,bacteria_66,0.520268981985823,1.23969181462513e-05,bacteria_37|bacteria_66,COPD,bb,0.520268981985823
Treponema,Tissierellaceae,bacteria_15,bacteria_72,0.405758417291378,0.000969352766205134,bacteria_15|bacteria_72,COPD,bb,0.405758417291378
Filifactor,Tissierellaceae,bacteria_27,bacteria_72,0.434241218261659,0.000376809794181199,bacteria_27|bacteria_72,COPD,bb,0.434241218261659
Gemellaceae,Gemella,bacteria_9,bacteria_73,0.430308179505544,0.000431467811288666,bacteria_9|bacteria_73,COPD,bb,0.430308179505544
Pasteurellaceae,Mannheimia,bacteria_31,bacteria_76,0.544430182679137,3.97945122898591e-06,bacteria_31|bacteria_76,COPD,bb,0.544430182679137
Treponema,Schwartzia,bacteria_15,bacteria_79,0.454399783614524,0.000183309969366885,bacteria_15|bacteria_79,COPD,bb,0.454399783614524
Selenomonas,Schwartzia,bacteria_46,bacteria_79,0.441648159414368,0.000290661283379956,bacteria_46|bacteria_79,COPD,bb,0.441648159414368
Clostridiaceae,Peptostreptococcus,bacteria_19,bacteria_80,0.476047255713776,8.03118974150863e-05,bacteria_19|bacteria_80,COPD,bb,0.476047255713776
Filifactor,ML615J-28,bacteria_27,bacteria_81,0.448772126086321,0.000225169506538947,bacteria_27|bacteria_81,COPD,bb,0.448772126086321
Treponema,Ruminococcus,bacteria_15,bacteria_87,0.403500634877496,0.00104111094474457,bacteria_15|bacteria_87,COPD,bb,0.403500634877496
Enterobacteriaceae,Aeromonadaceae,bacteria_66,bacteria_88,0.458512376681557,0.000157370849589222,bacteria_66|bacteria_88,COPD,bb,0.458512376681557
Treponema,Desulfomicrobium,bacteria_15,bacteria_91,0.499283952767365,3.10720451457414e-05,bacteria_15|bacteria_91,COPD,bb,0.499283952767365
Ruminococcus,Eikenella,bacteria_87,bacteria_102,-0.400982675183872,0.00112676260994871,bacteria_87|bacteria_102,COPD,bb,0.400982675183872
Anaerovorax,Agaricomycetes,bacteria_68,fungi_560,0.426563393059205,0.000490119228350405,bacteria_68|fungi_560,COPD,bf,0.426563393059205
Burkholderiaceae,Agaricomycetes,bacteria_84,fungi_560,-0.400576069910717,0.00114117436235595,bacteria_84|fungi_560,COPD,bf,0.400576069910717
Agaricomycetes,Amyloporia,fungi_560,fungi_725,0.427341381591697,0.000477369139402217,fungi_560|fungi_725,COPD,ff,0.427341381591697
Agaricomycetes_2,Amyloporia,fungi_845,fungi_725,0.45172048088281,0.000202257941458006,fungi_845|fungi_725,COPD,ff,0.45172048088281
Arachnomyces,Aspergillaceae,fungi_230,fungi_213,0.425107283472499,0.000514817892131481,fungi_230|fungi_213,COPD,ff,0.425107283472499
Mogibacteriaceae,Aureobasidium,bacteria_17,fungi_73,0.43126427040987,0.000417554894312833,bacteria_17|fungi_73,COPD,bf,0.43126427040987
Filifactor,Aureobasidium,bacteria_27,fungi_73,0.459555921026651,0.000151348047579436,bacteria_27|fungi_73,COPD,bf,0.459555921026651
Mycoplasma,Aureobasidium,bacteria_44,fungi_73,0.485769517287051,5.44304118759165e-05,bacteria_44|fungi_73,COPD,bf,0.485769517287051
Amyloporia,Auriculariales,fungi_725,fungi_640,0.689298666963763,4.20032009174065e-10,fungi_725|fungi_640,COPD,ff,0.689298666963763
Auricularia,Auriculariales,fungi_642,fungi_640,0.483350676378772,6.00273918562877e-05,fungi_642|fungi_640,COPD,ff,0.483350676378772
Amyloporia,Cabalodontia,fungi_725,fungi_801,0.461740007760178,0.000139421485179092,fungi_725|fungi_801,COPD,ff,0.461740007760178
Auriculariales,Cabalodontia,fungi_640,fungi_801,0.695327900378839,2.55479193356223e-10,fungi_640|fungi_801,COPD,ff,0.695327900378839
Apiotrichum,Candida,fungi_926,fungi_330,0.409156303911127,0.000869753723687472,fungi_926|fungi_330,COPD,ff,0.409156303911127
Aureobasidium,Candida,fungi_73,fungi_330,0.410689872095257,0.000827910099186591,fungi_73|fungi_330,COPD,ff,0.410689872095257
Agaricomycetes,Ceriporia,fungi_560,fungi_748,0.532124007455429,7.17664141425267e-06,fungi_560|fungi_748,COPD,ff,0.532124007455429
Catenulostroma,Chaetomiaceae,fungi_63,fungi_497,0.483350676378772,6.00273918562877e-05,fungi_63|fungi_497,COPD,ff,0.483350676378772
Arthrinium,Chaetomium,fungi_517,fungi_488,0.602570275643649,1.73971872241552e-07,fungi_517|fungi_488,COPD,ff,0.602570275643649
Antrodia,Chaetothyriales_2,fungi_726,fungi_211,0.586686987610164,4.34804761528795e-07,fungi_726|fungi_211,COPD,ff,0.586686987610164
Bulleidia,Chytridiomycota,bacteria_18,fungi_956,0.410213484455207,0.000840709171473941,bacteria_18|fungi_956,COPD,bf,0.410213484455207
Leptotrichia,Cladosporium,bacteria_10,fungi_23,0.509320489821603,2.0173971730042e-05,bacteria_10|fungi_23,COPD,bf,0.509320489821603
Arthrinium,Cladosporium,fungi_517,fungi_23,0.407597210164182,0.000914244509573781,fungi_517|fungi_23,COPD,ff,0.407597210164182
Auriporia,Claviceps,fungi_727,fungi_387,0.701381125972868,1.53182355688841e-10,fungi_727|fungi_387,COPD,ff,0.701381125972868
Beauveria,Claviceps,fungi_393,fungi_387,0.47916406817077,7.09862191805577e-05,fungi_393|fungi_387,COPD,ff,0.47916406817077
Agaricomycetes,Clitopilus,fungi_560,fungi_580,0.443516791487352,0.000271980883433498,fungi_560|fungi_580,COPD,ff,0.443516791487352
Alfaria,Clitopilus,fungi_441,fungi_580,0.409747835041246,0.000853392392065278,fungi_441|fungi_580,COPD,ff,0.409747835041246
Amyloporia,Clitopilus,fungi_725,fungi_580,0.4077881938739,0.000908686199311282,fungi_725|fungi_580,COPD,ff,0.4077881938739
Antrodia,Coniochaeta,fungi_726,fungi_349,0.586686987610164,4.34804761528795e-07,fungi_726|fungi_349,COPD,ff,0.586686987610164
