Sample1	Sample2	Group	Distance	Neighbor1	Neighbor2	Street1	Street2	District1	District2
S1502	S1494	Same_neighbor	0.229579747311	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1502	S1501	Same_neighbor	0.245791244263	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1502	S1531	Same_neighbor	0.360394064878	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1502	S1533	Same_neighbor	0.260506299479	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1502	S1520	Same_neighbor	0.216610549917	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1502	S1492	Same_neighbor	0.418131935491	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1502	S1512	Same_neighbor	0.215612919177	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1502	S1499	Same_neighbor	0.304526748	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1331	S1383	Same_neighbor	0.396184061906	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1331	S1240	Same_neighbor	0.337697965338	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1428	S1280	Same_neighbor	0.241301909517	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1428	S1424	Same_neighbor	0.208380101396	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1428	S1329	Same_neighbor	0.242798355379	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1428	S1417	Same_neighbor	0.221598705335	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1428	S1422	Same_neighbor	0.276343685447	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1428	S1421	Same_neighbor	0.220850481558	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1092	S1127	Same_neighbor	0.3002868177	Wengyuan21	Wengyuan21	Wengyuan2	Wengyuan2	Wengyuan	Wengyuan
S1455	S1462	Same_neighbor	0.245791244771	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1455	S1450	Same_neighbor	0.261878039952	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1455	S1436	Same_neighbor	0.259882781331	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1455	S1445	Same_neighbor	0.407407406667	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1455	S1430	Same_neighbor	0.249158250003	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1455	S1446	Same_neighbor	0.367502181111	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1455	S1454	Same_neighbor	0.389075944749	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
