Sample1	Sample2	Group	Distance	Neighbor1	Neighbor2	Street1	Street2	District1	District2
S1422	S1329	Same_neighbor	0.655077768275	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1422	S1251	Same_neighbor	0.894784995947	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1422	S1413	Same_neighbor	0.506861846274	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S718	S713	Same_neighbor	0.843549865374	Taishan11	Taishan11	Taishan1	Taishan1	Taishan	Taishan
S718	S717	Same_neighbor	0.788655078472	Taishan11	Taishan11	Taishan1	Taishan1	Taishan	Taishan
S1209	S1250	Same_neighbor	0.821591949822	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1209	S1332	Same_neighbor	0.546203109	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1209	S1360	Same_neighbor	0.634949680635	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1209	S1210	Same_neighbor	0.583714548	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1209	S1425	Same_neighbor	0.961573651	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S990	S1007	Same_neighbor	0.851784081111	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S990	S999	Same_neighbor	0.741079598705	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S990	S1026	Same_neighbor	0.916742909584	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S990	S1043	Same_neighbor	0.594693505163	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S990	S1053	Same_neighbor	0.847209515389	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S990	S1052	Same_neighbor	0.72186642147	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S990	S991	Same_neighbor	0.806038426739	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1317	S1423	Same_neighbor	0.788655077472	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1317	S1315	Same_neighbor	0.564501371476	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1317	S1410	Same_neighbor	0.786825252254	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1317	S1310	Same_neighbor	0.6285452897	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1317	S1415	Same_neighbor	0.738334858477	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1317	S1292	Same_neighbor	0.379688929449	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1384	S1383	Same_neighbor	0.518755718278	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1384	S1402	Same_neighbor	0.687099724531	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1384	S1330	Same_neighbor	0.638609332458	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1384	S1240	Same_neighbor	0.690759377382	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1384	S1331	Same_neighbor	0.870082342675	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1534	S1501	Same_neighbor	0.796889297188	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1534	S1515	Same_neighbor	0.453796890361	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1534	S1495	Same_neighbor	0.45105215053	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1534	S1520	Same_neighbor	0.687099725905	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1534	S1533	Same_neighbor	0.6669716375	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1534	S1511	Same_neighbor	0.630375116706	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1534	S1493	Same_neighbor	0.556267155447	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1534	S1531	Same_neighbor	0.729185728594	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1534	S1492	Same_neighbor	0.578225068367	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1534	S1499	Same_neighbor	0.806953341517	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1534	S1502	Same_neighbor	0.66331198699	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1534	S1512	Same_neighbor	0.419030191676	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1330	S1402	Same_neighbor	0.478499542435	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1330	S1240	Same_neighbor	0.893870083629	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1330	S1331	Same_neighbor	0.63494967954	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1233	S1335	Same_neighbor	0.878316561757	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1233	S1416	Same_neighbor	0.925892041926	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1233	S1181	Same_neighbor	0.895699909791	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1233	S1180	Same_neighbor	0.890210431835	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1233	S1380	Same_neighbor	0.849039343774	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1233	S1344	Same_neighbor	0.769441904539	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1233	S1225	Same_neighbor	0.167429093751	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1015	S1005	Same_neighbor	0.564501372258	Wengyuan31	Wengyuan31	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1015	S1006	Same_neighbor	0.538883806156	Wengyuan31	Wengyuan31	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1344	S1225	Same_neighbor	0.828911253743	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1344	S1380	Same_neighbor	0.589204023384	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1462	S1450	Same_neighbor	0.908508692817	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1462	S1436	Same_neighbor	0.645928637761	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1462	S1453	Same_neighbor	0.551692587552	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1462	S1449	Same_neighbor	0.723696249757	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1462	S1445	Same_neighbor	0.670631290341	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1462	S1455	Same_neighbor	0.7666971653	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1462	S1430	Same_neighbor	0.680695335042	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1462	S1435	Same_neighbor	0.60475754821	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1462	S1454	Same_neighbor	0.766697164533	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1462	S1469	Same_neighbor	0.754803295142	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1221	S1210	Same_neighbor	0.833485818667	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1221	S1425	Same_neighbor	0.930466605861	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1221	S1332	Same_neighbor	0.411710886823	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1221	S1250	Same_neighbor	0.809698079429	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1221	S1185	Same_neighbor	0.379688927759	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1221	S1360	Same_neighbor	0.811527905435	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1221	S1209	Same_neighbor	0.632204939632	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1499	S1533	Same_neighbor	0.854528820709	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1499	S1520	Same_neighbor	0.844464776378	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1499	S1511	Same_neighbor	0.715462031862	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1499	S1493	Same_neighbor	0.854528821418	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1499	S1501	Same_neighbor	0.885635866485	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1499	S1515	Same_neighbor	0.79414455828	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1499	S1495	Same_neighbor	0.809698079048	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1499	S1502	Same_neighbor	0.810612992337	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1499	S1512	Same_neighbor	0.842634950292	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1499	S1531	Same_neighbor	0.766697164533	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1499	S1492	Same_neighbor	0.842634951685	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1435	S1454	Same_neighbor	0.65965233266	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1435	S1445	Same_neighbor	0.613906678614	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1370	S1280	Same_neighbor	0.606587375016	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
