phenotype	taxon	group	Nsamples	levels	levels_SampleSize	effect.size	R2	F.stat	Pvalue
Occupational_pollution	Lactobacillus	Neis_high	815	0:1	421:394	-0.00662	2.42848971318127e-05	0.0201370262558733	0.887190558355781
Occupational_pollution	Lactobacillus	Neis_low	811	0:1	390:421	-0.01508	3.21268498790633e-05	0.0267170048260317	0.870202713846822
Occupational_pollution	Pseudomonas	Neis_high	815	0:1	421:394	-0.06625	0.00405072321630549	3.36002792132592	0.0671660840458781
Occupational_pollution	Pseudomonas	Neis_low	811	0:1	390:421	-0.00521	3.61159733583416e-06	0.00292950535210051	0.956849146109287
Occupational_pollution	Staphylococcus	Neis_high	815	0:1	421:394	0.01611	5.5378355595475e-05	0.0457247163175307	0.830731137457166
Occupational_pollution	Staphylococcus	Neis_low	811	0:1	390:421	0.11135	0.0026576788695677	2.20600367383522	0.137867829213716
Occupational_pollution	TG5	Neis_high	815	0:1	421:394	-0.06568	0.001131237388417	0.978260202358046	0.322925902065739
Occupational_pollution	TG5	Neis_low	811	0:1	390:421	0.01643	4.9880223984014e-05	0.0408049537564213	0.839966169788826
Occupational_pollution	Peptococcus	Neis_high	815	0:1	421:394	0.01895	9.15073312516834e-05	0.0842446905010847	0.771700228505819
Occupational_pollution	Peptococcus	Neis_low	811	0:1	390:421	0.04589	0.000415254110314442	0.361859235939992	0.547645680380461
Occupational_pollution	Butyrivibrio	Neis_high	815	0:1	421:394	-0.03241	0.000339559894896937	0.285156492835877	0.593488640997038
Occupational_pollution	Butyrivibrio	Neis_low	811	0:1	390:421	-0.05233	0.000475641253627552	0.387862287157908	0.533602481607351
Occupational_pollution	Megasphaera	Neis_high	815	0:1	421:394	-0.11697	0.00337188435312119	2.79690041255134	0.0948353060349521
Occupational_pollution	Megasphaera	Neis_low	811	0:1	390:421	0.1237	0.00297885689334117	2.52206893954597	0.112657833172902
Occupational_pollution	Sharpea	Neis_high	815	0:1	421:394	-0.06012	0.0010102670934421	0.837372035279199	0.360423472461596
Occupational_pollution	Sharpea	Neis_low	811	0:1	390:421	0.1126	0.00229735697344044	1.90585314786089	0.1678097332462
Occupational_pollution	RF39	Neis_high	815	0:1	421:394	-0.05558	0.000878030662746346	0.802022281029025	0.370757132594271
Occupational_pollution	RF39	Neis_low	811	0:1	390:421	0.06441	0.000755095581668232	0.640657250666206	0.423710224370517
Occupational_pollution	Paludibacter	Neis_high	815	0:1	421:394	0.09953	0.00204113372024969	1.75502854187992	0.185621756647755
