phenotype	taxon	group	Nsamples	levels	levels_SampleSize	effect.size	R2	F.stat	Pvalue
Occupational_pollution	ARG134	Neis_high	557	0:1	280:277	-0.01166	2.60666622763084e-05	0.015664353144722	0.900444993255628
Occupational_pollution	ARG134	Neis_low	555	0:1	260:295	-0.00672	1.07029502131456e-05	0.00629912300643222	0.93676983721382
Occupational_pollution	ARG135	Neis_high	557	0:1	280:277	-0.00824	2.43613777138468e-05	0.0139131504061775	0.906147391297598
Occupational_pollution	ARG135	Neis_low	555	0:1	260:295	-0.02275	8.44954656478471e-05	0.0471370138057972	0.828203402352563
Occupational_pollution	ARG136	Neis_high	557	0:1	280:277	0.00652	8.99955488412041e-06	0.00527325226217956	0.942137313524728
Occupational_pollution	ARG136	Neis_low	555	0:1	260:295	-0.03072	0.000209322185045227	0.129302489820475	0.719295626722542
Occupational_pollution	ARG137	Neis_high	557	0:1	280:277	-0.09872	0.000969108704381991	0.53445726133787	0.465051973386064
Occupational_pollution	ARG137	Neis_low	555	0:1	260:295	0	-0.000837685640333707	0.940281038224644	0.33263570902082
Occupational_pollution	ARG138	Neis_high	557	0:1	280:277	0	-3.97161964540982e-05	0.0758972988443465	0.783040277829112
Occupational_pollution	ARG138	Neis_low	555	0:1	260:295	0.03255	0.000120368783440812	0.0661245796926442	0.797162349293776
Occupational_pollution	ARG139	Neis_high	557	0:1	280:277	-0.12452	0.00305798421137621	1.79640586076891	0.180704042583448
Occupational_pollution	ARG139	Neis_low	555	0:1	260:295	0.027	0.000166688369216753	0.09955056915436	0.752490416787196
Occupational_pollution	ARG140	Neis_high	557	0:1	280:277	0.00815	1.38201953706948e-05	0.00764080974624212	0.930376239107642
Occupational_pollution	ARG140	Neis_low	555	0:1	260:295	0.03257	0.000243389053209281	0.135299235220965	0.713142474641823
Occupational_pollution	ARG141	Neis_high	557	0:1	280:277	-0.08798	0.000841975466038487	0.470466209909813	0.493063373408403
Occupational_pollution	ARG141	Neis_low	555	0:1	260:295	-0.06209	0.00510569046483337	2.82935872880689	0.0931281329952533
Occupational_pollution	ARG142	Neis_high	557	0:1	280:277	-0.12435	0.00153773078667471	0.854092857886324	0.355804558534157
Occupational_pollution	ARG142	Neis_low	555	0:1	260:295	0	0.00122059531918295	0.940281038224531	0.332635709020849
Occupational_pollution	ARG143	Neis_high	557	0:1	280:277	-0.1439	0.00331036328315017	1.83720800363426	0.175837932907013
Occupational_pollution	ARG143	Neis_low	555	0:1	260:295	-0.10598	0.00336191453762102	1.85868437964099	0.173339635503162
Occupational_pollution	ARG144	Neis_high	557	0:1	280:277	-0.02841	8.03386318760577e-05	0.0449139836802472	0.832241215641825
Occupational_pollution	ARG144	Neis_low	555	0:1	260:295	0	0.000660937512484083	0.940281038224256	0.33263570902092
