phenotype	taxon	group	Nsamples	levels	levels_SampleSize	effect.size	R2	F.stat	Pvalue
Occupational_pollution	M00481	Neis_low	555	0:1	260:295	459.63996	0.00995045638252835	5.61299277055337	0.0181753455304528
Occupational_pollution	M00563	Neis_high	557	0:1	280:277	-13.70555	5.5319966567699e-05	0.0324344512680441	0.857144158007823
Occupational_pollution	M00563	Neis_low	555	0:1	260:295	-29.82756	0.000272461326646906	0.156094172167364	0.692932859558575
Occupational_pollution	M00156	Neis_high	557	0:1	280:277	-51.91286	0.000166712423287779	0.107184687562458	0.743497635119098
Occupational_pollution	M00156	Neis_low	555	0:1	260:295	-120.85022	0.00108437943439292	0.660960326026632	0.416576121976953
Occupational_pollution	M00034	Neis_high	557	0:1	280:277	-77.95956	0.00120717404094133	0.699586352558501	0.403287953752846
Occupational_pollution	M00034	Neis_low	555	0:1	260:295	69.10507	0.000997133206844733	0.57073156338735	0.450294727579407
Occupational_pollution	M00223	Neis_high	557	0:1	280:277	44.3187	7.56359045765015e-05	0.0461462611783742	0.829990210254068
Occupational_pollution	M00223	Neis_low	555	0:1	260:295	-54.30468	0.000123962969469177	0.0703101138585066	0.790986049266805
Occupational_pollution	M00046	Neis_high	557	0:1	280:277	0.9176	1.80128298762905e-07	0.000105775737915158	0.99179786460615
Occupational_pollution	M00046	Neis_low	555	0:1	260:295	12.66524	3.57779359816575e-05	0.0198701190219039	0.887952513483937
Occupational_pollution	M00238	Neis_high	557	0:1	280:277	81.85384	0.000262842617194732	0.153152252934702	0.695693366956588
Occupational_pollution	M00238	Neis_low	555	0:1	260:295	27.01141	3.30447471492065e-05	0.0189706605957366	0.890501501095141
Occupational_pollution	M00160	Neis_high	557	0:1	280:277	-62.99654	0.00131623161450775	0.7919071604891	0.373915267929079
Occupational_pollution	M00160	Neis_low	555	0:1	260:295	32.15771	0.000444135298895622	0.255136462169003	0.613685524777128
Occupational_pollution	M00165	Neis_high	557	0:1	280:277	-46.07277	0.000266468274821241	0.156704492647014	0.692363266820911
Occupational_pollution	M00165	Neis_low	555	0:1	260:295	39.23393	0.000224112360082018	0.126442365497283	0.722287201622182
Occupational_pollution	M00021	Neis_high	557	0:1	280:277	-170.6207	0.00139856350972531	0.855149817119429	0.355507316558236
Occupational_pollution	M00021	Neis_low	555	0:1	260:295	110.55519	0.000684578714068594	0.386263590886069	0.534529854872482
Occupational_pollution	M00531	Neis_high	557	0:1	280:277	-14.138	7.41023176537015e-05	0.0432391618105517	0.835352991172943
Occupational_pollution	M00531	Neis_low	555	0:1	260:295	47.32518	0.000948122868344184	0.536417529863119	0.464236074005968
Occupational_pollution	M00600	Neis_high	557	0:1	280:277	-15.19671	0.000136706464638814	0.0813263343234931	0.77561592992031
Occupational_pollution	M00600	Neis_low	555	0:1	260:295	12.49163	0.000111582150333342	0.0630827735014999	0.801782879214539
Occupational_pollution	M00546	Neis_high	557	0:1	280:277	-93.22282	0.00200376006623749	1.20759674963319	0.272292036997248
Occupational_pollution	M00546	Neis_low	555	0:1	260:295	-33.03834	0.000341093181333282	0.19354061360165	0.660160395339392
Occupational_pollution	M00018	Neis_high	557	0:1	280:277	102.77607	0.000898337446545022	0.536041982751448	0.464391275431212
Occupational_pollution	M00018	Neis_low	555	0:1	260:295	-54.32799	0.000230614438975922	0.128913028911263	0.719700776100002
Occupational_pollution	M00243	Neis_high	557	0:1	280:277	-44.80372	0.000118572756461176	0.0671198765095622	0.795674808190847
Occupational_pollution	M00243	Neis_low	555	0:1	260:295	-202.14551	0.00223694282537316	1.24448722235212	0.265099646341775
Occupational_pollution	M00339	Neis_high	557	0:1	280:277	264.11058	0.00583535692077881	3.30820000073096	0.0694816143691182
Occupational_pollution	M00339	Neis_low	555	0:1	260:295	-35.07862	0.000118065265725519	0.0658318351905998	0.797602039927147
Occupational_pollution	M00488	Neis_high	557	0:1	280:277	-13.88259	0.000123123735732325	0.0721782740953959	0.788292517530249
Occupational_pollution	M00488	Neis_low	555	0:1	260:295	-12.12199	0.000105679189644693	0.0590587389748631	0.808081310395776
Occupational_pollution	M00443	Neis_high	557	0:1	280:277	206.26439	0.00159417734391686	0.914768937346894	0.339274743524804
Occupational_pollution	M00443	Neis_low	555	0:1	260:295	-292.18708	0.00375503602558548	2.09726333049325	0.148138082492416
Occupational_pollution	M00185	Neis_high	557	0:1	280:277	-102.9678	0.000655595251938965	0.382876917924433	0.536325154786952
Occupational_pollution	M00185	Neis_low	555	0:1	260:295	-236.65553	0.00429587298460103	2.61207404425655	0.106631649657369
Occupational_pollution	M00568	Neis_high	557	0:1	280:277	105.76268	0.000903979458267506	0.579637298411925	0.446782619503664
Occupational_pollution	M00568	Neis_low	555	0:1	260:295	-158.75911	0.00227301377684451	1.34262696156164	0.247078690389764
Occupational_pollution	M00197	Neis_high	557	0:1	280:277	222.3016	0.00195094255103227	1.09803989689142	0.29515944795437
Occupational_pollution	M00197	Neis_low	555	0:1	260:295	381.42809	0.00656247733893714	3.6580900325126	0.0563214039171793
Occupational_pollution	M00008	Neis_high	557	0:1	280:277	157.08869	0.00166195542748414	0.972258525085827	0.324553495272347
Occupational_pollution	M00008	Neis_low	555	0:1	260:295	-16.34608	2.27781398552604e-05	0.0127324936303307	0.910200262036594
Occupational_pollution	M00388	Neis_high	557	0:1	280:277	-17.56161	0.000194281360521742	0.116987965427536	0.732455897045225
Occupational_pollution	M00388	Neis_low	555	0:1	260:295	11.99385	0.000102774431857154	0.0587376587438072	0.808593536221916
